Date,VKOSPI,KOSPI200,Open_interest,For_KOSPI_Netbuying_Amount,For_Future_Netbuying_Quantity,For_Call_Netbuying_Quantity,For_Put_Netbuying_Quantity,Indiv_Future_Netbuying_Quantity,Indiv_Call_Netbuying_Quantity,Indiv_Put_Netbuying_Quantity,PCRatio,Day_till_expiration,Day_of_a_week
2012-09-07,18.97,246.79,942426,3.11E+11,4653,14567,4452,-4136,-29506,33610,0.64,4,Fri
2012-09-10,19.35,254.02,990178,2.14E+11,-4722,9406,7491,4989,15121,22600,0.91,3,Mon
2012-09-11,19.78,253.38,1018096,2.12E+11,-1553,8659,-491,-1160,10344,11402,0.77,2,Tue
2012-09-12,20.02,252.73,1054998,66111572465,6339,7610,-2256,1307,-14925,34081,0.64,1,Wed
2012-09-13,19.09,256.95,1128275,1.3E+11,1406,8631,15601,-2654,28372,26055,0.92,0,Thu
2012-09-14,17.98,256.87,261560,1.28E+12,3441,-2443,8863,-1351,-2193,2051,1.06,17,Fri
2012-09-17,18.03,265.02,361662,5.15E+11,-5206,2408,12161,2624,-1335,-8657,0.92,16,Mon
2012-09-18,18.04,263.97,442201,58084736840,1644,-3521,464,-589,6584,-205,0.86,15,Tue
2012-09-19,18.23,264.25,487813,1.74E+11,-927,-8364,7238,796,4741,-2902,0.87,14,Wed
2012-09-20,18.64,264.44,544990,1.66E+11,943,5455,4196,489,-5759,1279,1.04,13,Thu
2012-09-21,18.15,261.87,601099,1.68E+11,265,-2022,6898,-640,5063,-2324,0.91,12,Fri
2012-09-24,18.28,263.41,635404,-168956200,2012,322,1272,-772,-4669,5210,1,11,Mon
2012-09-25,18.1,263.56,654923,-12312635410,-2156,2435,-503,1345,5251,501,0.96,10,Tue
2012-09-26,17.92,262.03,702204,24099057310,-1952,3792,-1335,879,2090,295,0.92,9,Wed
2012-09-27,17.53,260.42,717782,-1.29E+11,5060,-3917,12027,-1738,-1168,611,0.7,8,Thu
2012-09-28,17.23,261.62,752889,2.33E+11,-271,-2176,5918,-2164,3342,-2057,0.89,7,Fri
2012-10-02,17.65,262.49,764677,47883877715,-974,3661,3642,-352,3842,9280,0.87,6,Tue
2012-10-04,17.13,262.48,801647,-62645973341,-2122,2878,6217,2904,11574,3057,0.77,5,Thu
2012-10-05,17.06,261.92,851017,-47228671890,-544,3445,-2177,-343,4536,12610,0.88,4,Fri
2012-10-08,17.33,262.07,868607,3.76E+11,-4157,-4330,6225,1621,32547,9468,0.93,3,Mon
2012-10-09,16.87,260.11,941021,-65970785232,1875,5630,-3830,-590,8676,10458,0.86,2,Tue
2012-10-10,17.81,259.66,983542,84115660710,-8577,-11154,-3275,4371,48997,-7159,1.05,1,Wed
2012-10-11,17.51,255.15,1089189,-2E+11,552,-7653,-742,-1904,60414,-2287,0.97,0,Thu
2012-10-12,17.19,252.84,293678,-2.88E+11,864,-1982,-4381,86,3280,4447,0.78,19,Fri
2012-10-15,17.08,252.44,388602,-1.71E+11,2599,3787,3989,-909,4346,-4210,0.79,18,Mon
2012-10-16,16.4,251.44,465298,-34401904799,-583,-4771,1100,-1249,-2328,-75,0.88,17,Tue
2012-10-17,16.28,253.98,499183,24785874620,2663,10888,6239,-1401,-9767,-703,0.69,16,Wed
